warehouse_code,product_code,size_code,constrained_target_inv_qty,available_inv_qty,inventory_lower_limit,inventory_upper_limit
STOREM030,T5KCM29871,L,1,0,1,
STOREM030,T5KCM29871,M,1,1,1,
STOREM030,T5KCM29871,S,1,0,1,
STOREM030,T5KCM29871,XL,1,0,1,
STOREM032,T5KCM29871,L,1,1,1,
STOREM069,T5KCM29871,L,1,1,1,
STOREM069,T5KCM29871,M,1,1,1,
STOREM069,T5KCM29871,S,1,0,1,
STOREM069,T5KCM29871,XL,1,0,1,
STOREM156,T5KCM29871,L,1,0,1,
STOREM156,T5KCM29871,M,1,1,1,
STOREM156,T5KCM29871,XL,1,1,1,
STOREM156,T5KCM29871,XXL,1,0,1,
STOREM161,T5KCM29871,L,1,0,1,
STOREM161,T5KCM29871,M,1,1,1,
STOREM161,T5KCM29871,XL,1,0,1,
STOREM197,T5KCM29871,L,1,1,1,
STOREM197,T5KCM29871,M,1,1,1,
STOREM197,T5KCM29871,S,1,0,1,
STOREM197,T5KCM29871,XL,1,0,1,
STORE001,T5KCM29871,L,1,0,1,
STORE001,T5KCM29871,M,1,0,1,
STORE001,T5KCM29871,S,1,1,1,
STORE008,T5KCM29871,L,1,0,1,
STORE008,T5KCM29871,M,1,0,1,
STORE008,T5KCM29871,S,1,0,1,
STORE013,T5KCM29871,M,1,0,1,
STORE013,T5KCM29871,S,1,1,1,
STORE037,T5KCM29871,L,1,0,1,
STORE037,T5KCM29871,M,1,1,1,
STORE037,T5KCM29871,S,1,0,1,
STORE001,T5ABC12345,L,1,0,1,
STORE001,T5ABC12345,M,2,1,1,
STORE001,T5ABC12345,S,2,1,1,
STORE001,T5ABC12345,XS,1,1,1,
STORE011,T5ABC12345,L,1,0,1,
STORE011,T5ABC12345,M,1,0,1,
STORE011,T5ABC12345,S,1,0,1,
STORE011,T5ABC12345,XS,1,0,1,
STOREM015,T5ABC12345,L,1,1,1,
STOREM015,T5ABC12345,M,1,1,1,
STOREM015,T5ABC12345,S,1,0,1,
STOREM016,T5ABC12345,L,1,0,1,
STOREM016,T5ABC12345,M,1,0,1,
STOREM016,T5ABC12345,S,1,0,1,
STOREM016,T5ABC12345,XS,1,0,1,
STOREM017,T5ABC12345,L,1,0,1,
STOREM017,T5ABC12345,M,1,0,1,
STOREM017,T5ABC12345,S,1,0,1,
STOREM017,T5ABC12345,XS,1,0,1,
STOREM193,T5ABC12345,L,1,0,1,
STOREM193,T5ABC12345,M,2,2,1,
STOREM193,T5ABC12345,S,1,0,1,
STOREM194,T5ABC12345,M,1,0,1,
STOREM194,T5ABC12345,S,1,0,1,
STOREM194,T5ABC12345,XS,1,0,1,
STOREM030,T5ABC12345,L,1,0,1,
STOREM030,T5ABC12345,M,1,1,1,
STOREM030,T5ABC12345,S,1,1,1,
STOREM030,T5ABC12345,XS,1,0,1,
STOREM069,T5ABC12345,M,1,1,1,
STOREM069,T5ABC12345,S,1,1,1,
STOREM069,T5ABC12345,XS,1,0,1,
STOREM156,T5ABC12345,L,2,2,1,
STOREM156,T5ABC12345,M,1,1,1,
STOREM156,T5ABC12345,S,2,2,1,
STOREM156,T5ABC12345,XS,4,0,1,
STOREM161,T5ABC12345,L,1,0,1,
STOREM161,T5ABC12345,M,1,0,1,
STOREM161,T5ABC12345,S,1,0,1,
STOREM161,T5ABC12345,XS,1,0,1,
STOREM178,T5ABC12345,L,1,1,1,
STOREM178,T5ABC12345,M,1,1,1,
STOREM178,T5ABC12345,S,1,1,1,
STOREM178,T5ABC12345,XS,1,0,1,
STOREM203,T5ABC12345,L,1,0,1,
STOREM203,T5ABC12345,M,1,1,1,
STOREM203,T5ABC12345,S,1,0,1,
STOREM203,T5ABC12345,XS,1,0,1,
STOREM204,T5ABC12345,M,2,2,1,
STOREM204,T5ABC12345,S,1,0,1,
STORE006,T5ABC12345,L,1,1,1,
STORE006,T5ABC12345,M,1,1,1,
STORE006,T5ABC12345,S,1,0,1,
STORE006,T5ABC12345,XS,1,0,1,
STORE008,T5ABC12345,L,2,2,1,
STORE008,T5ABC12345,M,2,1,1,
STORE008,T5ABC12345,S,1,0,1,
STORE008,T5ABC12345,XS,1,0,1,
STORE013,T5ABC12345,L,1,0,1,
STORE013,T5ABC12345,M,2,2,1,
STORE013,T5ABC12345,S,1,0,1,
STORE013,T5ABC12345,XS,1,0,1,
STORE032,T5ABC12345,L,1,1,1,
STORE032,T5ABC12345,M,1,1,1,
STORE032,T5ABC12345,S,1,0,1,
STORE037,T5ABC12345,L,1,0,1,
STORE037,T5ABC12345,M,1,1,1,
STORE037,T5ABC12345,S,1,0,1,
STORE037,T5ABC12345,XS,1,0,1,
STORE039,T5ABC12345,M,1,0,1,
STORE039,T5ABC12345,S,1,1,1,
STORE039,T5ABC12345,XS,1,0,1,
STORE040,T5ABC12345,L,1,0,1,
STORE040,T5ABC12345,M,1,0,1,
STORE040,T5ABC12345,S,1,0,1,
STORE040,T5ABC12345,XS,1,0,1,
STORE033,T5ABC12345,L,1,0,1,
STORE033,T5ABC12345,M,1,0,1,
STORE033,T5ABC12345,S,1,0,1,
STORE033,T5ABC12345,XS,1,0,1,
STOREM068,T5ABC12345,S,1,1,1,
STORE007,T5ABC12345,L,1,1,1,
STORE007,T5ABC12345,M,1,1,1,
STORE007,T5ABC12345,S,1,0,1,
STORE007,T5ABC12345,XS,1,0,1,
STOREM157,T5ABC12345,L,1,0,1,
STOREM157,T5ABC12345,M,1,1,1,
STOREM157,T5ABC12345,S,1,1,1,
STOREM157,T5ABC12345,XS,1,1,1,
STOREM197,T5ABC12345,L,1,0,1,
STOREM197,T5ABC12345,M,1,0,1,
STOREM197,T5ABC12345,S,1,1,1,
STOREM162,T5ABC12345,L,1,0,1,
STOREM162,T5ABC12345,M,1,1,1,
